id,ts_iso,epoch,src_ip,dst_ip,proto,sport,dport,length
128,2025-09-18T07:54:16Z,1758182056.889628,10.0.0.248,142.251.46.238,TCP,59049,80,212
129,2025-09-18T07:54:16Z,1758182056.905866,142.251.46.238,10.0.0.248,TCP,80,59049,66
130,2025-09-18T07:54:16Z,1758182056.9087338,142.251.46.238,10.0.0.248,TCP,80,59049,193
131,2025-09-18T07:54:16Z,1758182056.910756,10.0.0.248,142.251.46.238,TCP,59049,80,66
132,2025-09-18T07:54:16Z,1758182056.9125068,10.0.0.248,142.251.46.238,TCP,59049,80,66
133,2025-09-18T07:54:16Z,1758182056.9321952,142.251.46.238,10.0.0.248,TCP,80,59049,66
134,2025-09-18T07:54:16Z,1758182056.935068,10.0.0.248,142.251.46.238,TCP,59049,80,66
135,2025-09-18T07:54:16Z,1758182056.960407,10.0.0.248,23.192.228.15,TCP,59050,80,78
136,2025-09-18T07:54:16Z,1758182056.990418,23.192.228.15,10.0.0.248,TCP,80,59050,74
137,2025-09-18T07:54:16Z,1758182056.993731,10.0.0.248,23.192.228.15,TCP,59050,80,66
138,2025-09-18T07:54:16Z,1758182056.9960651,10.0.0.248,23.192.228.15,TCP,59050,80,219
139,2025-09-18T07:54:17Z,1758182057.013055,23.192.228.15,10.0.0.248,TCP,80,59050,74
140,2025-09-18T07:54:17Z,1758182057.015973,10.0.0.248,23.192.228.15,TCP,59050,80,66
141,2025-09-18T07:54:17Z,1758182057.0196779,23.192.228.15,10.0.0.248,TCP,80,59050,66
142,2025-09-18T07:54:17Z,1758182057.022239,23.192.228.15,10.0.0.248,TCP,80,59050,258
143,2025-09-18T07:54:17Z,1758182057.0240908,10.0.0.248,23.192.228.15,TCP,59050,80,66
144,2025-09-18T07:54:17Z,1758182057.0265758,10.0.0.248,23.192.228.15,TCP,59050,80,66
145,2025-09-18T07:54:17Z,1758182057.0662332,23.192.228.15,10.0.0.248,TCP,80,59050,66
146,2025-09-18T07:54:17Z,1758182057.069653,10.0.0.248,23.192.228.15,TCP,59050,80,66
147,2025-09-18T07:54:19Z,1758182059.8603299,34.227.36.214,10.0.0.248,TCP,443,56616,66
148,2025-09-18T07:54:19Z,1758182059.863639,10.0.0.248,34.227.36.214,TCP,56616,443,66
149,2025-09-18T07:54:20Z,1758182060.33675,10.0.0.73,255.255.255.255,UDP,58612,6667,214
150,2025-09-18T07:54:27Z,1758182067.096014,10.0.0.243,224.0.0.251,UDP,5353,5353,103
151,2025-09-18T07:54:28Z,1758182068.120367,10.0.0.243,224.0.0.251,UDP,5353,5353,103
152,2025-09-18T07:54:30Z,1758182070.3746219,10.0.0.73,255.255.255.255,UDP,58612,6667,214
153,2025-09-18T07:54:34Z,1758182074.9473338,34.227.36.214,10.0.0.248,TCP,443,56616,66
154,2025-09-18T07:54:34Z,1758182074.949151,10.0.0.248,34.227.36.214,TCP,56616,443,66
155,2025-09-18T07:54:35Z,1758182075.391101,10.0.0.73,255.255.255.255,UDP,58612,6667,214
156,2025-09-18T07:54:40Z,1758182080.407326,10.0.0.73,255.255.255.255,UDP,58612,6667,214
157,2025-09-18T07:54:42Z,1758182082.559645,10.0.0.142,224.0.0.251,UDP,5353,5353,100
158,2025-09-18T07:54:42Z,1758182082.596127,10.0.0.248,10.0.0.142,UDP,5353,5353,509
159,2025-09-18T07:54:43Z,1758182083.584686,10.0.0.142,224.0.0.251,UDP,5353,5353,183
160,2025-09-18T07:54:45Z,1758182085.4291399,10.0.0.73,255.255.255.255,UDP,58612,6667,214
